japanese,romaji
りんご,ringo
さくら,sakura
たいよう,taiyou
うみ,umi
やま,yama
ねこ,neko
いぬ,inu
そら,sora
はな,hana
つき,tsuki
かぜ,kaze
ほし,hoshi
にじ,niji
ゆき,yuki
あめ,ame
くも,kumo
かわ,kawa
もり,mori
まち,machi
しま,shima
とり,tori
さかな,sakana
うさぎ,usagi
くるま,kuruma
でんしゃ,densha
ひこうき,hikouki
がっこう,gakkou
せんせい,sensei
ともだち,tomodachi
かぞく,kazoku
おんがく,ongaku
えいが,eiga
ほんだな,hondana
えんぴつ,enpitsu
けしゴム,keshigomu
ノート,no-to
かばん,kaban
くつ,kutsu
ぼうし,boushi
めがね,megane
とけい,tokei
でんわ,denwa
カメラ,kamera
ピアノ,piano
ギター,gita-
サッカー,sakka-
やきゅう,yakyuu
すいえい,suiei
たまご,tamago
おにぎり,onigiri
